debugI5RIIL:debug1WE1NF,gender,female
debugI5RIIL:debug1WE1NF,age,30
debugI5RIIL:debug1WE1NF,condition,1
debugDRQX97:debugDQC3II,gender,male
debugDRQX97:debugDQC3II,age,45
debugDRQX97:debugDQC3II,condition,1
debugXS5FE5:debug3AN76P,gender,female
debugXS5FE5:debug3AN76P,age,22
debugXS5FE5:debug3AN76P,condition,1
debugG2RC8O:debug4MTJTQ,gender,male
debugG2RC8O:debug4MTJTQ,age,20
debugG2RC8O:debug4MTJTQ,condition,1
debugRKT5NQ:debugD5M2R6,gender,female
debugRKT5NQ:debugD5M2R6,age,20
debugRKT5NQ:debugD5M2R6,condition,2
debugH7GL0J:debugK3RES0,gender,male
debugH7GL0J:debugK3RES0,age,20
debugH7GL0J:debugK3RES0,condition,3
debug4NPJ47:debugPLT4BB,gender,male
debug4NPJ47:debugPLT4BB,age,44
debug4NPJ47:debugPLT4BB,condition,1
debugFNPOX7:debugC91OB3,gender,male
debugFNPOX7:debugC91OB3,age,22
debugFNPOX7:debugC91OB3,condition,3
debug67VXYH:debugUXY7UJ,gender,female
debug67VXYH:debugUXY7UJ,age,22
debug67VXYH:debugUXY7UJ,condition,1
debugKMMRGF:debugTKTV9H,gender,male
debugKMMRGF:debugTKTV9H,age,44
debugKMMRGF:debugTKTV9H,condition,3
debugZ1MFRG:debug91KI1C,city,yes
debugZ1MFRG:debug91KI1C,cacti,yes
debugZ1MFRG:debug91KI1C,gender,female
debugZ1MFRG:debug91KI1C,age,77
debugZ1MFRG:debug91KI1C,nuts,no
debugZ1MFRG:debug91KI1C,dog,yes
debugZ1MFRG:debug91KI1C,drill,no
debugZ1MFRG:debug91KI1C,cake,no
debugZ1MFRG:debug91KI1C,check,2
debugZ1MFRG:debug91KI1C,condition,0
debugLA39TG:debugGLL0K8,city,yes
debugLA39TG:debugGLL0K8,cacti,no
debugLA39TG:debugGLL0K8,gender,female
debugLA39TG:debugGLL0K8,age,22
debugLA39TG:debugGLL0K8,nuts,yes
debugLA39TG:debugGLL0K8,dog,no
debugLA39TG:debugGLL0K8,drill,yes
debugLA39TG:debugGLL0K8,cake,no
debugLA39TG:debugGLL0K8,check,2
debugLA39TG:debugGLL0K8,condition,2
debugQS365J:debugT3XFZD,city,no
debugQS365J:debugT3XFZD,cacti,no
debugQS365J:debugT3XFZD,gender,female
debugQS365J:debugT3XFZD,age,22
debugQS365J:debugT3XFZD,nuts,no
debugQS365J:debugT3XFZD,dog,no
debugQS365J:debugT3XFZD,drill,no
debugQS365J:debugT3XFZD,cake,no
debugQS365J:debugT3XFZD,check,2
debugQS365J:debugT3XFZD,condition,0
debugVFV8QV:debug6JJUDK,city,yes
debugVFV8QV:debug6JJUDK,cacti,no
debugVFV8QV:debug6JJUDK,gender,male
debugVFV8QV:debug6JJUDK,age,22
debugVFV8QV:debug6JJUDK,nuts,no
debugVFV8QV:debug6JJUDK,dog,no
debugVFV8QV:debug6JJUDK,drill,no
debugVFV8QV:debug6JJUDK,cake,no
debugVFV8QV:debug6JJUDK,check,2
debugVFV8QV:debug6JJUDK,condition,1
